channel1,channel2,channel3
78926,279296,384266
78941,279344,384308
79092,279501,384469
79262,279767,384586
79456,279922,384811
79714,280145,384650
80070,280232,384830
80357,280233,384940
80558,280309,384962
80546,280184,384874
80424,280183,384794
80349,280103,384785
80333,280057,384834
80414,280226,384764
80529,280199,384874
80691,280435,384950
80900,280533,385092
81100,280504,385223
81292,280630,385200
81458,280740,385268
81631,280688,385319
81772,280860,385143
81892,280899,385197
82043,280983,385393
82200,281098,385482
82357,281217,385568
82509,281212,385677
82678,281289,385501
82856,281428,385682
82981,281582,385813
83081,281458,385819
82782,281226,385665
81918,280643,385163
80688,280015,384768
79520,279538,384469
78831,279290,384353
78559,279453,384201
78571,279492,384338
78725,279650,384544
78886,279717,384521
79081,279818,384582
79351,280067,384751
79693,280162,384840
79970,280140,384902
80066,280155,384882
80022,280190,384866
79912,280015,384622
79818,279996,384725
79818,279964,384810
79852,279974,384642
79972,279914,384644
80144,280246,384962
80335,280236,384774
80528,280320,384856
80665,280275,384851
80819,280491,384894
80939,280474,385010
81084,280476,384915
81201,280555,385043
81313,280734,385063
81442,280609,385107
81555,280652,385076
81691,280706,385138
81823,280757,385088
81918,280767,385052
82095,280858,385145
82140,280718,385230
81845,280564,385147
80953,279888,384509
79683,279334,384123
78537,279020,383895
77897,278734,383759
77632,278655,383680
77647,278649,383670
77765,278977,383797
77920,278989,383758
78104,279171,383998
78389,279348,384094
78754,279467,384336
79071,279686,384340
79224,279588,384422
79235,279602,384210
79139,279567,384132
79054,279388,384189
79033,279484,384134
79106,279468,384162
79261,279701,384278
79449,279770,384236
79647,279811,384462
79832,279829,384449
81738,280556,384936
81301,280345,384866
80318,279718,384403
79017,279111,383876
77993,278691,383700
77463,278597,383578
77313,278625,383374
77341,278693,383609
77424,278762,383590
77581,278705,383842
77737,278961,383875
78073,279242,383952
78462,279309,384108
78737,279473,384174
78876,279547,384088
78876,279425,384167
78805,279414,384109
78733,279417,384132
78737,279294,384120
78839,279445,383948
79002,279497,384174
79221,279588,384194
79429,279660,384298
79605,279612,384284
79788,279765,384404
79953,279844,384433
80178,280003,384533
80337,280095,384646
80474,280132,384684
80628,280245,384655
80786,280276,384651
80953,280287,384776
81087,280435,384733
81218,280460,384883
81391,280528,385009
81552,280562,385024
81718,280702,385085
81709,280675,384885
81151,280061,384539
80009,279448,384281
78771,278835,383740
77858,278632,383659
77412,278479,383511
77347,278640,383507
77455,278760,383641
77639,278906,383775
77790,279001,383862
78007,279054,383892
78334,279397,384028
78708,279493,384255
79047,279766,384450
79217,279652,384460
79198,279537,384287
79137,279675,384270
79075,279571,384273
79144,279520,384324
79263,279704,384339
79420,279763,384498
79652,279890,384495
79863,280022,384725
80094,280091,384667
80352,280266,384693
80537,280219,384783
80698,280294,384846
80891,280499,384975
81042,280400,384982
81177,280545,385104
81316,280471,385043
81481,280583,385075
81627,280725,385085
81807,280769,385234
81924,280719,385254
82050,280626,385147
81962,280536,385086
81418,280123,384727
80363,279417,384312
79165,278968,383777
78245,278425,383610
77784,278312,383472
77669,278364,383430
77701,278463,383436
77797,278486,383414
77883,278536,383618
78102,278638,383747
78410,278735,383828
78724,278965,383771
78975,278939,383802
79066,278933,383771
79047,278868,383754
78958,278953,383747
78925,278855,383688
78893,278741,383685
78941,278615,383594
79052,278770,383648
79234,278846,383628
79455,278819,383757
79633,279066,383842
79836,279118,383896
80051,279199,383967
80231,279304,384067
80452,279332,384164
80639,279585,384072
80839,279628,384270
81049,279779,384334
81257,279869,384459
81445,279814,384487
81663,279906,384367
81836,279944,384663
81905,279974,384615
81621,279691,384280
80785,279133,383855
79637,278448,383386
78679,278197,383220
78143,278047,383067
77967,278030,383039
77967,277917,383046
78035,278133,383124
78116,278064,383114
78223,278304,383326
78516,278460,383291
78867,278517,383452
79176,278654,383487
79354,278752,383436
79354,278637,383596
79312,278669,383514
79278,278739,383377
79318,278706,383492
79451,278822,383564
79634,278866,383652
79887,279003,383860
80079,279079,383824
80240,279099,383907
80455,279177,383966
80614,279277,384011
80780,279435,384004
80992,279506,384158
81144,279481,384100
81277,279560,384015
81433,279583,384106
81575,279634,384208
81668,279748,384213
81802,279708,384334
81974,279980,384212
82179,279897,384513
82363,280076,384572
82527,280113,384534
82438,279985,384527
81839,279418,384122
80728,278797,383618
79554,278303,383158
78719,277994,382990
78312,278073,382929
78225,278143,383076
78235,278177,383044
78286,278233,383151
78338,278308,383067
78504,278309,383323
78719,278493,383281
79032,278592,383159
79247,278624,383389
79326,278569,383348
79284,278667,383223
79273,278656,383452
79251,278713,383478
79328,278670,383587
79488,278852,383542
79669,279060,383767
79916,279126,383808
80138,279277,383901
80314,279432,383931
80474,279422,383971
80685,279559,384041
80870,279619,384226
81053,279834,384290
81247,279957,384299
81426,279962,384348
81533,279939,384249
81610,279928,384362
81702,279931,384364
81806,280078,384612
81955,280085,384489
82058,280146,384422
82201,280286,384451
82373,280274,384698
82481,280349,384630
82380,280059,384467
81802,279674,383971
80679,279070,383694
79431,278455,383333
78514,278307,382975
78022,278253,382996
77894,278241,383039
77871,278332,383071
77908,278317,383135
77955,278426,383168
78128,278721,383418
78374,278792,383487
78712,278884,383451
78928,278937,383533
78960,278810,383417
78976,278980,383451
78944,278952,383538
78985,279030,383797
79069,279121,383639
79259,279269,383658
79468,279419,383947
79703,279424,384075
79922,279529,384208
80118,279646,384180
80369,279923,384373
80565,279956,384394
80753,280116,384414
80960,280082,384518
81164,280350,384634
81371,280451,384886
81576,280511,385056
81776,280705,384987
81979,280799,385168
82126,281068,385138
82339,281108,385376
82581,281247,385510
82840,281426,385823
83130,281759,385941
83393,282004,386108
83555,282111,386303
83305,281957,386272
82448,281470,385864
81286,281169,385811
80333,280844,385587
79782,280867,385487
79612,280879,385638
79658,281172,385751
79818,281299,385895
79973,281424,385936
80114,281563,386103
80406,281986,386255
80804,282257,386535
81165,282278,386576
81376,282234,386456
81380,282086,386515
81267,281995,386368
81213,282018,386175
81172,281949,386292
81248,281970,386276
81350,281828,386164
81509,281874,386118
81655,281872,386154
81824,281704,386018
81941,281630,385908
82032,281588,385873
82155,281592,385772
82259,281623,385835
82377,281657,385915
82517,281659,385942
82617,281703,385952
82766,281758,385860
82897,281698,385983
82915,281752,385785
82979,281639,385941
83076,281647,385881
83192,281698,386019
83281,281873,385987
83457,281980,386027
83631,282125,386189
83724,282112,386191
83518,281659,385949
82749,281063,385477
81490,280604,385135
80171,279859,384512
79187,279437,384154
78658,279284,384058
78414,279178,384062
78384,279274,384118
78420,279245,384281
78384,279253,384034
78398,279132,384005
78550,279100,383872
78720,278996,383792
78781,278668,383611
78580,278281,383136
78290,277913,382781
78005,277660,382706
77806,277544,382741
77749,277504,382554
77731,277410,382473
77826,277470,382480
77930,277586,382534
78045,277386,382368
78052,277299,382128
77953,277188,381852
77806,276569,381273
77352,275132,379311
79043,277935,380584
79896,278864,381273
80453,279171,381921
80254,278909,381977
79581,278870,382107
78881,278936,382587
78461,278768,382548
78306,278898,382791
78367,279349,383158
78571,279767,383917
78739,280302,384592
78973,280919,385411
79250,281592,386264
79648,282131,387004
80050,282848,387757
80391,283396,388336
80583,283893,388648
80680,284204,389116
80682,284410,389424
80703,284455,389649
80780,284800,389941
80896,284853,390035
81109,285228,390434
81323,285447,390709
81605,285661,390738
81906,285902,390998
82223,285943,391193
82521,286098,391282
82768,286190,391359
82962,286201,391481
83154,286239,391425
83288,286118,391473
83429,286122,391447
83613,286269,391607
83876,286322,391839
84177,286617,392080
84440,286669,392085
84704,286766,392219
84723,286839,392532
84325,286588,392196
83515,286127,392165
82663,286121,392249
82122,286001,392093
81962,286013,392340
82056,286290,392392
82288,286374,392647
82484,286746,393082
82620,286895,392963
82636,286478,392518
82864,286760,392818
83189,286756,392727
83603,286954,393063
83823,286981,393139
83809,287192,393111
83790,287197,393142
83731,287227,393078
83772,287242,393141
83917,287476,393283
84105,287670,393487
84292,287709,393527
84502,287807,393348
84751,287931,393620
85001,287869,393479
85253,287963,393642
85510,288260,393773
85768,288298,393995
86006,288334,394153
86199,288558,394127
86424,288573,394090
86673,288814,394317
86975,288914,394532
87234,288906,394585
87440,288839,394440
87351,288654,394357
86814,287828,393784
85899,287303,393403
84928,286785,393217
84260,286605,392954
83934,286703,393058
83929,286969,393290
84002,287068,393193
84066,287062,393248
84102,287086,393328
84188,287121,393426
84438,287275,393514
84772,287529,393786
85064,287817,393805
85206,287872,393860
85263,287645,393720
85171,287516,393638
85125,287404,393474
85149,287434,393475
85221,287438,393549
85422,287444,393558
85583,287526,393723
85782,287398,393481
85984,287632,393583
86190,287949,393904
86445,288079,394036
86598,287897,394041
86771,288004,394122
86932,288062,394015
87133,288190,394140
87347,288246,394253
87470,288196,394295
87681,288379,394279
87807,288516,394418
87826,288371,394399
87557,288191,394198
86841,287652,393824
85771,286625,392920
84618,286140,392279
82799,283718,389732
81473,282259,388389
80448,281356,387689
79100,279716,386029
77907,278451,386151
77751,278010,390285
77356,278268,392248
76566,279109,390833
76253,280396,388713
76726,281805,387156
78023,283877,386528
79768,285924,387044
81036,287386,387824
81911,288914,388439
82863,290531,389613
84043,292221,390561
85164,293076,390933
86077,293400,390847
86828,293863,390903
87483,294340,391040
88057,294826,391062
88543,294714,390805
88966,294306,390163
89274,293727,389408
89375,292756,388100
89336,291087,386162
89262,288009,381446
88668,284125,377411
87916,282476,376452
87413,282251,376459
86770,281878,376224
85913,281678,375965
84962,281674,375699
84307,281695,375358
84125,281898,375380
84150,282103,375595
84158,282181,375738
84140,281916,375553
84249,282112,375819
84528,282450,376123
84953,282760,376377
85447,282931,376702
85785,283172,376724
85896,283008,376569
85984,282867,376514
86133,283117,376640
86352,283518,377118
86513,283851,377393
86680,283988,377621
86758,284016,377601
86897,284305,377868
87069,284611,378151
87327,284881,378349
87606,285085,378445
87812,284919,378098
87936,284686,377883
88058,284412,377726
88133,284187,377589
88159,284031,377289
88122,283673,377117
87871,283112,376700
87407,282677,376476
86554,282245,376190
85383,281776,375808
84144,281196,375617
83146,280907,375228
82506,280755,375283
82237,280812,375273
82266,280933,375399
82420,281046,375541
82644,281068,375732
82998,281500,375935
83441,281756,376191
83758,282087,376532
83888,281994,376399
83801,281693,376176
83500,281126,375532
83192,281089,375618
82938,280845,375441
82819,280712,375374
82791,280733,375374
82756,280569,375125
82768,280413,374919
82797,280475,374925
82829,280350,375013
82906,280437,374911
82987,280418,374966
83065,280284,374829
83072,280178,374768
82982,280038,374624
82542,279814,374438
81651,279364,374162
