channel1,channel2,channel3
93940,277830,353978
94445,279303,355304
94928,280875,356406
95345,282089,357410
95695,282551,358009
96015,282386,357716
96298,281833,357290
96643,281330,356703
96996,281084,356235
97319,280669,355993
97549,279718,355020
97781,278260,353923
98022,276943,352502
98225,275701,351126
98398,273759,349340
98612,272344,347652
98843,271515,346778
99106,271151,346038
99401,270554,345313
99664,270450,345126
99985,270323,344878
100331,270137,344874
100653,270320,344868
100944,270225,344969
101233,270402,344959
101510,270235,344644
101822,270282,344448
102060,269986,344258
102310,269849,344215
102563,269771,344114
102864,269807,344097
103115,269811,344112
103406,269730,343898
103610,270009,344012
103870,269999,343975
104128,269998,344050
104361,270169,344200
104607,270338,344299
104823,270485,344265
104996,270447,344478
105169,270572,344339
105242,270524,344397
105327,270495,344356
105447,270401,344117
105548,270247,344197
105694,270180,343991
105832,270226,343917
105913,270111,343787
106073,269954,343838
106243,270039,343726
106384,270023,343742
106521,270030,343785
106585,270069,344028
106770,270186,344032
106833,270264,344043
106973,270208,344074
107086,270269,344099
107202,270283,344143
107334,270273,344149
107417,270268,344241
107549,270325,344193
107670,270311,344029
107790,270293,344212
107910,270304,344211
108024,270402,344162
108153,270400,344146
108280,270587,344304
108418,270449,344276
108521,270553,344381
108639,270621,344400
108758,270736,344320
108879,270764,344373
108971,270801,344434
109083,270801,344589
109233,270938,344497
109260,270883,344522
109354,270888,344562
109364,270868,344529
109394,270823,344431
109395,270842,344469
109383,270775,344366
109389,270599,344373
109371,270625,344374
109406,270568,344191
109465,270543,344082
109551,270484,344127
109629,270531,344135
109712,270556,344138
109837,270638,344313
109891,270562,344211
109939,270470,343970
110010,270516,344048
110037,270534,344065
110113,270503,344025
110166,270572,343941
110233,270607,343973
110345,270744,344136
110420,270765,344143
110540,270821,344128
110639,270871,344157
110726,270695,344112
110812,270872,343958
110897,270764,344091
110955,270892,344096
111076,270766,343875
111143,270872,343693
111210,270751,343675
111268,270731,343511
111322,270917,343615
111409,270844,343655
111422,270746,343474
111394,270880,343510
111402,270753,343571
111384,270852,343288
111390,270827,343389
111469,270929,343234
111530,270988,343255
111602,271196,343359
111713,271479,343350
111859,271587,343505
112008,271616,343422
112143,271840,343442
112241,272028,343459
112326,272071,343659
112411,272060,343610
112484,272138,343654
112526,272249,343749
112592,272173,343730
112613,272158,343750
112686,272144,343722
112747,272183,343768
112825,272141,343800
112905,272101,343715
113017,272242,343813
113054,272358,343840
113108,272351,343946
113201,272501,343802
113192,272300,343847
113289,272303,343752
113332,272359,343891
113360,272445,344036
113366,272468,344072
113360,272505,344030
113294,272481,344041
113226,272545,344140
113098,272584,344087
112959,272546,344324
112753,272498,344097
112594,272482,344120
112502,272528,344172
112467,272541,344262
112447,272622,344274
112445,272897,344224
112509,272933,344348
112540,272956,344336
112591,273056,344316
112740,273103,344363
112824,273096,344485
112885,273138,344478
113018,273261,344473
113115,273354,344518
113130,273377,344563
113200,273386,344658
113276,273402,344800
113305,273446,344743
113369,273401,344733
113395,273390,344678
113466,273414,344686
113531,273455,344715
113591,273492,344665
113676,273580,344772
113764,273542,344697
113770,273499,344699
113819,273496,344790
113791,273418,344607
112848,273039,344343
112936,272843,344301
113012,272861,344316
113107,272849,344347
113181,272893,344274
113167,272829,344193
113211,272821,344382
113172,272707,344178
113217,272627,344142
113191,272587,344078
113153,272558,343998
113116,272408,344116
113118,272424,344098
113112,272488,344160
113100,272372,344042
113074,272225,344054
113117,272205,344078
113129,272172,343995
113163,272175,343977
113154,272103,343997
113152,271969,343921
113082,272154,343810
113029,271975,344013
112973,272085,343868
112894,272027,343771
112838,271891,343838
112790,271857,343664
112788,271856,343773
112697,271789,343769
112705,271790,343667
112679,271693,343509
112719,271589,343617
112743,271564,343565
112750,271608,343607
112772,271487,343599
112764,271524,343466
112763,271436,343413
112796,271396,343478
112810,271348,343381
112822,271262,343314
112861,271174,343304
112880,271212,343313
112887,271189,343303
112909,271142,343193
112939,271115,343220
112980,271221,343310
113014,271180,342997
113058,271135,343198
113120,271248,343296
113093,271281,343234
113050,271192,343167
112941,271113,343159
112887,271086,343161
112809,270903,342929
112735,270783,342863
112689,270813,342780
112659,270705,342795
112666,270779,342935
112670,270720,342707
112690,270639,342806
112756,270676,342651
112812,270720,342673
112877,270711,342649
112942,270613,342537
113031,270590,342550
113059,270552,342450
113062,270612,342415
113046,270603,342586
113122,270631,342435
113173,270595,342496
113196,270604,342499
113191,270542,342388
113208,270574,342384
113273,270536,342430
113351,270491,342287
113416,270615,342358
113439,270775,342300
113475,270744,342251
113465,270827,342495
113489,270815,342431
113464,270823,342337
113399,270862,342258
113332,270798,342317
113260,270875,342333
113184,270980,342365
113168,271136,342359
113142,271184,342513
113127,271375,342543
113096,271415,342608
113132,271563,342616
113093,271581,342631
113108,271466,342671
113100,271545,342781
113070,271754,342861
113053,271811,342810
113021,271791,342813
112981,271844,342827
112990,271755,342903
112936,271782,342932
112941,271768,342906
112994,271770,342969
112983,271940,343016
113017,271927,342988
113061,271926,343080
113113,271936,343058
113155,271933,343059
113179,271980,343106
113172,271997,343106
113128,271819,343063
113048,271688,342904
113020,271728,342993
112973,271636,342852
112940,271868,343074
112868,271909,343156
112832,271972,343175
112773,271974,343125
112741,272021,343047
112687,271903,343044
112656,271950,343195
112600,271964,343128
112566,271978,343214
112508,271915,343170
112523,271871,343169
112503,271824,343030
112519,271899,343139
112555,271951,343171
112603,271930,343023
112604,271998,343133
112592,272171,343154
112548,272082,343138
112557,271959,343008
112563,271941,343009
112578,272133,343124
112586,272160,343069
112579,272017,342988
112615,272026,342932
112596,272126,343022
112510,272206,343061
112434,272179,343096
112339,272175,343223
112264,272331,343226
112211,272389,343162
112220,272356,343168
112197,272549,343290
112168,272445,343340
112149,272591,343279
112163,272699,343305
112185,272673,343371
112179,272615,343300
112183,272674,343221
112142,272768,343322
112109,272629,343251
112109,272651,343299
112125,272651,343263
112054,272621,343266
112039,272510,343314
112029,272621,343400
111989,272691,343370
111982,272635,343249
112003,272603,343268
112030,272590,343341
112026,272535,343202
112004,272651,343348
111990,272519,343105
111939,272563,343289
111857,272476,343315
111714,272470,343343
111588,272516,343236
111494,272463,343285
111394,272319,343276
111293,272462,343157
111259,272336,343302
111196,272254,343081
111155,272308,343133
111129,272242,343159
111116,272241,343087
111115,272219,343047
111102,272095,343040
111095,272245,342865
111025,272088,342973
111009,272073,342918
110969,271962,342912
110980,271863,342772
110994,272009,342912
111019,271932,342750
111052,271973,342820
111067,271945,343003
111100,271798,342894
111132,271938,342806
111132,271948,342823
111177,271965,342856
111226,271936,342767
111203,271917,342714
111192,271869,342757
111106,271932,342788
110993,271848,342777
110821,271930,342938
110609,271841,342789
110463,271822,342668
110370,271763,342639
110295,271872,342892
110177,271810,342858
110142,271920,342834
110097,271957,342909
110086,271939,342864
110047,271936,342859
110022,271990,342951
110069,272003,342735
110040,272007,342955
110039,272120,342910
110007,272118,342886
110019,272098,342993
110033,272158,342977
110016,272258,343046
110061,272254,342997
110113,272250,343026
110132,272311,342994
110170,272275,343108
110195,272328,343050
110251,272401,343090
110276,272342,343110
110326,272365,343185
110358,272412,343182
110430,272537,343234
110448,272397,343296
110543,272439,343410
110582,272613,343358
110666,272606,343307
110701,272671,343320
110738,272712,343326
110649,272667,343390
110602,272727,343347
110503,272578,343401
110382,272684,343373
110301,272620,343277
110206,272501,343415
110028,272372,343272
110058,272372,343231
110073,272439,343222
