channel1,channel2,channel3
99955,270298,347596
100026,270211,347666
100075,270162,347493
100028,270103,347538
99855,270042,347532
99681,270186,347634
99488,270171,347617
99358,270179,347457
99286,270192,347555
99225,270056,347485
99225,270114,347486
99265,270227,347428
99304,270212,347544
99400,270306,347538
99464,270293,347501
99490,270150,347509
99557,270154,347469
99580,270203,347502
99636,270183,347474
99646,270299,347507
99682,270234,347587
99752,270285,347431
99811,270246,347472
99859,270140,347327
99917,270249,347379
99974,270203,347595
100048,270318,347411
100127,270332,347416
100206,270305,347499
100290,270216,347477
100319,270214,347618
100341,270077,347386
100224,270083,347430
100040,270068,347352
99830,270002,347320
99617,270069,347393
99528,270099,347363
99442,270058,347251
99389,269986,347230
99366,270113,347231
99375,270027,347202
99409,270005,347395
99446,270081,347336
99527,270060,347215
99563,270110,347298
99641,270120,347308
99661,270137,347292
99683,270188,347308
99723,270037,347249
99776,270133,347294
99796,270219,347383
99864,270146,347233
99911,270140,347319
99992,270051,347337
100028,270128,347283
100113,270168,347273
100190,270133,347325
100213,270123,347293
100316,270055,347189
100338,270062,347192
100252,270001,347153
100077,269966,347240
99874,269926,347202
99649,269989,347291
99514,270110,347087
99418,270051,347267
99375,269975,347154
99324,269982,347148
99369,269946,347074
99399,269969,347148
99471,270080,347238
99494,270033,346999
99593,270038,347145
99635,270005,347116
99653,270046,347045
99693,269979,347102
99730,269992,347031
99764,270067,347133
99841,270066,347143
99853,269949,347118
99901,269983,347124
99990,270126,347161
100045,270077,347199
100099,270101,347196
100178,269991,347200
100267,270097,347105
100383,270123,347036
99541,270050,346985
99614,270039,346934
99680,269978,346958
99709,269921,346832
99750,270028,347191
99808,270060,346929
99821,269911,347060
99839,269966,346922
99885,269973,346855
99934,269997,346982
100003,270012,347139
100083,270022,346943
100166,270136,347034
100206,270113,347041
100282,270148,347202
100376,270205,347233
100411,270205,347113
100486,270125,346993
100528,270087,347043
100453,270023,347001
100325,270026,346952
100086,270083,347039
99887,270032,347014
99775,270087,347159
99697,270091,347061
99610,270121,347025
99583,270045,346927
99622,270141,347011
99692,270208,346992
99772,270227,347092
99831,270174,346909
99865,270193,346919
99905,270145,346977
99942,270306,346942
99994,270190,346846
100015,270208,346976
100054,270151,347009
100075,270256,346841
100121,270231,347003
100197,270232,347013
100279,270288,347012
100365,270213,347026
100419,270319,347017
100492,270274,346983
100545,270241,347065
100587,270225,346954
100593,270181,347025
100507,270102,347063
100314,270096,347034
100114,270141,346959
99910,270116,346893
99788,270231,346998
99751,270229,346869
99680,270099,346849
99631,270089,346787
99640,270075,346707
99691,270167,346931
99769,270201,346800
99809,270109,346719
99832,270154,346886
99880,269999,346854
99923,270109,346853
99934,270120,346771
99966,270176,346770
100034,270123,346777
100050,270168,346823
100094,270119,346745
100165,270179,346766
100247,270107,346885
100295,270105,346893
100357,270136,346879
100428,270136,346928
100507,270209,346943
100574,270178,346874
100519,270037,346832
100380,270048,346915
100187,270108,346692
99965,270117,346825
99783,270033,346739
99676,270019,346827
99627,270055,346742
99548,269947,346774
99568,270044,346720
99610,270087,346716
99647,270044,346656
99703,270041,346709
99748,269957,346717
99777,270084,346709
99840,270091,346666
99836,270030,346678
99864,270030,346751
99875,270030,346641
99899,269983,346636
99946,270016,346687
99972,270004,346557
100021,269889,346683
100096,269891,346651
100153,269901,346690
100224,270061,346649
100301,269921,346593
100365,269987,346608
100376,269899,346540
100322,269789,346578
100093,269842,346623
99907,269854,346688
99713,269909,346579
99570,269851,346593
99540,269864,346489
99490,269788,346477
99448,269854,346596
99501,269954,346449
99533,269945,346561
99598,269950,346605
99673,269935,346415
99699,269849,346390
99739,269807,346577
99744,269829,346410
99737,269763,346437
99765,269768,346424
99768,269735,346353
99800,269759,346363
99875,269782,346369
99916,269780,346410
99967,269771,346351
100032,269853,346418
100092,269785,346529
100159,269791,346380
100180,269715,346389
100227,269747,346445
100140,269604,346332
100023,269537,346228
99782,269515,346228
99570,269499,346242
99433,269590,346118
99297,269467,346104
99241,269574,346149
99205,269451,346140
99192,269549,346088
